source,text,label
trt,galatasarayfenerbahçe derbisi şubatta oynanacak,non-sarcastic
trt,emine erdoğan zulüm gör kardeş için dua eksik,non-sarcastic
zaytung,terk sevgili had bil karar genç kız facebook terör devam,sarcastic
zaytung,yeni ab stratejisi açıklandı bireysel başvuru modeli i̇le tek tek gireceğiz,sarcastic
trt,cumhurbaşkanı erdoğan şehit sav mehmet selim kiraz,non-sarcastic
trt,deaş yönelik operasyon şüphe yakala,non-sarcastic
trt,emine erdoğan sigara bırak gün yarın için başlangıç adım,non-sarcastic
trt,ege deniz deprem sür,non-sarcastic
zaytung,birden bir patla doğu ekspres sevgi karst endişe yol doğru söyle,sarcastic
trt,i̇bbye yönelik yolsuzluk soruşturması i̇nşaat ruhsatı için villa daire istendi iddiası,non-sarcastic
zaytung,beyoğlu belediyesi planlanan yeni yasaklar i̇çin kulağa hoş gelen prezentabl bahaneler üretecek yaratıcı yazarlar arıyor,sarcastic
zaytung,kısa sürede gündemden düşen edevlet story özelliğiyle yeniden atağa kalkmaya hazırlanıyor,sarcastic
trt,cumhurbaşkanı erdoğan ato ziyaret,non-sarcastic
zaytung,aysu aile pasaport coşku soy bilgi sorgula yıl varna doğ hala sağ büyük babaanne ulaş çaba sür,sarcastic
zaytung,yaşında çıkardığı kişisel gelişim kitabıyla tepki çeken yeraltı edebiyatının ünlü i̇smi eleştirileri yanıtladı bu yaştan sonra ne yazsaydım,sarcastic
zaytung,tüi̇k sevgililer günü kapitalizmin bir oyunudur tezini savunanların ü normal hayatlarında serbest piyasa ekonomisinden yana,sarcastic
zaytung,hafızasında yeterince gereksiz i̇nternet ünlüsü barındıran mine ezgit dilan polatın kim olduğunu öğrenmemeye kararlı,sarcastic
trt,siber güvenlik başkan siber teknoloji milli dönüşüm görev,non-sarcastic
zaytung,i̇stanbulda sağlık hizmetleri diziler nedeniyle sekteye uğradı,sarcastic
zaytung,kendi hata anla fabrika dön yeni nesil toyota yol,sarcastic
zaytung,görkem sertaç göçmeni yarım kalan cinayetini tamamlaması i̇çin tahliye eden mahkeme heyeti herkes bir şansı hak eder,sarcastic
