source,text,label
trt,Galatasaray-Fenerbahçe derbisi 24 Şubat'ta oynanacak,non-sarcastic
trt,Emine Erdoğan: Zulüm gören kardeşlerimiz için dualarımızı eksik etmeyelim,non-sarcastic
zaytung,"Terk Eden Sevgilisine Haddini Bildirmeye Kararlı Genç Kız, Facebook'ta Terör Estirmeye Devam Ediyor",sarcastic
zaytung,"Yeni AB Stratejisi Açıklandı: ""Bireysel Başvuru Modeli"" İle Tek Tek Gireceğiz",sarcastic
trt,"Cumhurbaşkanı Erdoğan, şehit savcı Mehmet Selim Kiraz'ı andı",non-sarcastic
trt,22 ilde DEAŞ'a yönelik operasyonlarda 47 şüpheli yakalandı,non-sarcastic
trt,"Emine Erdoğan: Sigarayı Bırakma Günü, yarınlar için başlangıç adımı olsun",non-sarcastic
trt,Ege Denizi'ndeki depremler sürüyor,non-sarcastic
zaytung,"Birden Bire Patlayan Doğu Ekspresi Sevgisi, Kars'ta Endişeye Yol Açtı: ''Lan doğru söyleyin ölecek miyiz?''",sarcastic
trt,"İBB'ye yönelik yolsuzluk soruşturması: İnşaat ruhsatı için ""1 villa, 4 daire istendi"" iddiası",non-sarcastic
zaytung,"Beyoğlu Belediyesi, Planlanan Yeni Yasaklar İçin Kulağa Hoş Gelen, Prezentabl Bahaneler Üretecek Yaratıcı Yazarlar Arıyor",sarcastic
zaytung,"Kısa Sürede Gündemden Düşen E-Devlet, Story Özelliğiyle Yeniden Atağa Kalkmaya Hazırlanıyor...",sarcastic
trt,Cumhurbaşkanı Erdoğan ATO'yu ziyaret etti,non-sarcastic
zaytung,Aysu Ailesi'nde AB Pasaportu Coşkusu: Soy Bilgisi Sorgulamaya Göre 1880 Yılında Varna'da Doğan ve Hala Sağ Olan Büyük Babaanneye Ulaşma Çabaları Sürüyor...,sarcastic
zaytung,"86 Yaşında Çıkardığı Kişisel Gelişim Kitabıyla Tepki Çeken Yeraltı Edebiyatının Ünlü İsmi, Eleştirileri Yanıtladı: ""Bu yaştan sonra ne yazsaydım?""",sarcastic
zaytung,"TÜİK: “'Sevgililer günü kapitalizmin bir oyunudur' Tezini Savunanların % 94'ü, Normal Hayatlarında Serbest Piyasa Ekonomisinden Yana...""",sarcastic
zaytung,"Hafızasında Yeterince Gereksiz İnternet Ünlüsü Barındıran Mine Ezgit(27), Dilan Polat'ın Kim Olduğunu Öğrenmemeye Kararlı...",sarcastic
trt,"Siber Güvenlik Başkanlığı, siber teknolojilerin milli dönüşümünde de görev alacak",non-sarcastic
zaytung,İstanbul’da Sağlık Hizmetleri Diziler Nedeniyle Sekteye Uğradı,sarcastic
zaytung,Kendi Hatasını Anlayıp Fabrikaya Dönebilen Yeni Nesil Toyotalar Yolda,sarcastic
zaytung,Görkem Sertaç Göçmen'i Yarım Kalan Cinayetini Tamamlaması İçin Tahliye Eden Mahkeme Heyeti: ''Herkes 2. bir şansı hak eder...'',sarcastic
trt,İskenderun Sahil Projesi başlıyor,non-sarcastic
zaytung,"Her Büyük Terör Eyleminin Ardından Daha Büyük Köprü Açılışı Yapan Türkiye, İşlerin İzmir-Atina Köprüsüne Kadar Gelmesinden Endişeli",sarcastic
zaytung,"Son Olarak Arda Turan'dan da ''Faizleri düşürün'' Talimatı Alan Merkez Bankası Başkanı, Ulus'ta Çıplak Koşarken Görüntülendi...",sarcastic
zaytung,Yabancı Yatırımcıdan Bakan Albayrak'a Övgü: ''Bizi inanılmaz güldürüyor...'',sarcastic
zaytung,"Milli Eğitim Bakanlığı, Online Derste ''Süslü Sülü burda mısın?'' Şeklinde Yoklama Alan 328.000 Öğretmen Hakkında İnceleme Başlattı...",sarcastic
zaytung,"Aldığı Maaşla Türkiye'de Geçinmesi İmkansız Hale Gelen Gabon Ankara Büyükelçisi, Ülkesine Dönmeye Kararlı: ''Osman Kavala kim bilmiyorum ama bizim de kırmızı çizgimizdir...''",sarcastic
trt,Tarım ve Orman Bakanlığı: Fırsatçılara en ağır tedbirler uygulanacak,non-sarcastic
zaytung,"Başbakan Erdoğan'ın Nikah Şahitliğini Yaptığı Kamberoğlu Çifti, Ayıp Olmasın Diye 4 Yıldır Boşanamıyor",sarcastic
trt,Denizaltıdan atılan ATMACA: Türkiye'nin 'sürpriz' gücü,non-sarcastic
trt,Yenidoğan Çetesi firarisi tutuklandı,non-sarcastic
