source,text,label
zaytung,"İskandinav Ülkelerinde Verimli Bir Kamp Dönemi Geçiren Diyanet İşleri Başkanlığı, Ramazan Boyunca Halka Fakirliği Övüp Sabır Telkin Etmeye Hazır...",sarcastic
zaytung,Uzmanlar Uyarıyor: ''Tatile çıkarken bir arkadaşa emanet edilen kedilerle dönüşte geri alınanların %35'i farklı hayvanlar...'',sarcastic
zaytung,"Hazine ve Maliye Bakanlığı, Yurt Dışından Yapılan ''Şu kadar yedik, bu kadar tuttu'' Paylaşımlarına Vergi Düzenlemesi İçin Düğmeye Bastı...",sarcastic
zaytung,"Bayram Tatili İçin Rodos'a Giden Emekli Albay Cemil Orhuner, Diğer Türk Tatilcilerin de Yardımıyla Adada Yönetime El Koydu...",sarcastic
zaytung,"Merve Uraz(27), Bugüne Dek Kimsede Bulamadığı Huzuru Yine Bayram Temizliği İçin Eline Tutuşturulan Sarı Bezde Buldu...",sarcastic
zaytung,"Verdiği Oylarla Eğitimi Hizbullah Terör Örgütü ve Tarikatlara, Adaleti de Mafya ve Çetelere Teslim Eden Muzaffer Eycil(68), Emekli Maaşının (10 bin TL) Bayramdan Önce Yatmamasına Tepkili...",sarcastic
zaytung,Sıcak Havalardan Şikayet Eden Vatandaşlara Meteoroloji Genel Müdürlüğü'nden Önemli Hatırlatma: ''Haziran ayındayız...'',sarcastic
zaytung,"Hazine ve Maliye Bakanı Mehmet Şimşek, Herhangi Bir Şey Alıp Satmadan da Vergi Ödeme İmkanı Sunan Yeni Paketi Tanıttı...",sarcastic
zaytung,YKS 2024: ''Yılda 100 bin dolar verip sizi Amerika'da okutacak bir babanız var mı?'' Sorusuna ''Hayır'' Yanıtı Veren 3 Milyon Aday İlk Turda Elendi...,sarcastic
zaytung,Kurban Bayramı Tatilinin 9 Gün Olarak Açıklanmasının Ardından Yunanistan'da Olağanüstü Hal İlan Edildi...,sarcastic
zaytung,"Interpol Tarafından Kırmızı Bültenle Arananların İlk Tercihi Olan Türkiye, 2024 Turizm Sezonundan Umutlu...",sarcastic
zaytung,"Vize Başvurusu 6. Kez Reddedilen Genç, Yeteneklerini Ve Birikimini Türkiye İçin Kullanmaya Karar Verdi...",sarcastic
zaytung,"Sokak Hayvanları Yasa Tasarısı Hakkında AKP'den Rahatlatan Açıklama: ''Bu sorunu da olabilecek en kötü şekilde çözüp elimize yüzümüze bulaştırma noktasında...""",sarcastic
zaytung,"Sokak ve Parklarda Sahipsiz Gezen 65 Yaş Üstü Emeklilerin de Uyutulması, Yeni Yasa Tasarısında Oylamaya Sunulacak...",sarcastic
zaytung,Havada Bir Süre Kalabilen Son Taşıtını da Kazaya Kurban Veren İran'da 5 Günlük Yas İlan Edildi...,sarcastic
zaytung,Baskılar Sonuç Verdi: Olumsuz Hava Koşulları Nedeniyle Yaz Diyeti Son Başlama Tarihi 1 Haziran'a Kadar Uzatıldı...,sarcastic
zaytung,"Ankara'da Tam Olarak Ne Olup Bittiğini Çözmeye Çalışan Mert Kuzak(32), Gündemi Takip Etme Mücadelesinde Pes Etti: ''Benlik bir durum yoksa Filenin Sultanları ve Survivor'la yola devam ediyorum...""",sarcastic
zaytung,2.7 Trilyon Lira Açık Vermesi Beklenen Bütçe İçin 100 Milyar Liralık Tasarruf Tedbiri Açıklayan Mehmet Şimşek: ''Şu basın toplantısı için yaktığımız elektriğe değdi mi emin değilim...'',sarcastic
zaytung,''Ben de bunun annesiyim'' Notuyla Paylaşılan Anneler Günü Fotoğrafına Kediden İtiraz: ''İfadeler gerçeği yansıtmıyor...'',sarcastic
zaytung,"Araplara TC Vatandaşlığı Satan Acentelerden, Müşterilerine Önemli Hatırlatma: ''Çocuğunuzun cinayet işleme hakkı fiyata dahil değilmiş. Biz de yeni öğrendik...''",sarcastic
zaytung,Dışişleri Bakanlığı'ndan Vizesiz Avrupa Müjdesi: ''Önce sağlam bir şişme bot temin ediyorsunuz...'',sarcastic
zaytung,"Bodrum Beach İşletmecileri Birliği, Bozulan Fiyat Algısından Şikayetçi: ''Lahmacunu kaçtan satsak çüş denir bilemiyoruz...''",sarcastic
zaytung,Bir Mayıs Nedeniyle Tüm Toplu Taşımaya Yasak Getiren İstanbul Valiliği: ''İşe gitseniz n'olcak? Sanki kaç para alıyonuz ki?'',sarcastic
zaytung,"Ekonomik Krizle Boğuşan Türkiye, Ankara'da Her Şeyden Uzak Anayasayla Falan Uğraşan Bir Grup Mutlu AKP'liyi Gıptayla İzliyor...",sarcastic
zaytung,Türk Müşterilere Daha Fazla Fiyat Çeken Oteller Olduğu İddiası Turizm Bakanlığı'nda Şok Etkisi Yarattı: ''Türkler Yunanistan'da tatil yapmıyor mu?'',sarcastic
zaytung,"Çocuklarına Miras Olarak Kadıköy'de Boş Park Yeri Bırakan Suat Dumanlı, Ölümünün 15. Yıl Dönümünde Mezarı Başında Anıldı...",sarcastic
zaytung,"Belediyeyi 2 Milyar TL Borçla Devralan Belediye Başkanı, Koltuğu 23 Nisan'da Gelen Çocuğa Devrettikten Sonra Kayıplara Karıştı...",sarcastic
zaytung,Kafe/Restoran Boykotuna Katılanlar Anlatıyor: ''Pahalılıktan soğan halcilerini ve marketleri sorumlu tutmakla aynı zeka seviyesi ama bu bi tık daha havalı...'',sarcastic
zaytung,Yerel Halkı Enflasyonun Düşeceğine İkna Etmek Üzere Hazine ve Maliye Bakanlığı Bünyesinde 5000 Büyücü İstihdam Edilecek...,sarcastic
zaytung,"AKP'de Seçim Sonuçları İlk Kurbanını Aldı: Tepkilerin Odağındaki İstakoz, Görevden Affını İstedi...",sarcastic
zaytung,"9 Günlük Tatilin Ardından İlk İş Gününde 818 Milyar TL Zarar Açıklayan Merkez Bankası Başkanı Fatih Karahan, Pazartesi Sendromunda Çıtayı Zirveye Taşıyan İsim Oldu...",sarcastic
zaytung,"Ailesi İle Bayram Ziyaretlerini Tamamlayan Efe Küçükali(6), 3 Günde 18 Çifti Çocuk Fikrinden Tiksindirmeyi Başardı...",sarcastic
zaytung,"Geçmiş Bayramlarda Boş İstanbul'un Tadını Çıkaran Suriyeli ve Afganlar, Bu Yıl da Ekonomik Çöküş Mağduru: ''Bu ne abi her yer Türk?!''",sarcastic
zaytung,"Uzaktan Akrabalar, Genişletilmiş Soru Bankasıyla Bu Bayramda Sizi Daha da Darlamak İçin Bekliyor...",sarcastic
zaytung,"Sırf AKP'li Akrabaların AKP'yi Gömmesini İzlemek İçin Yıllar Sonra Facebook'a Giren Ezgi Kuraz(28), Bayram Tatilinde Memlekete Gitmeyi Dört Gözle Bekliyor...",sarcastic
zaytung,"''7 Haziran - 1 Kasım'' Filminin 2.'sini Gösterime Sokan Yapım Şirketi, Gişe Konusunda Endişeli: ''Aç karnına ne kadar izlenir?''",sarcastic
zaytung,10 Ay İçinde Birbirinin Tam Tersi 2 Seçim Sonucu Çıkaran Türkiye'ye ''Borderline Tipi Demokrasi'' Teşhisi Kondu...,sarcastic
zaytung,"Göreve Geldiğinden Beri Dünyayı Gezip Tek Kuruş Bulamadan Geri Dönen Mehmet Şimşek, Yerel Seçim Sürecinin Bitişi Nedeniyle Buruk: ''İlk kez bi işe yaradığımı hissetmiştim...''",sarcastic
zaytung,İflas Etmek İçin Seçim Sonrasını Bekleyen Esnafa Mehmet Şimşek'ten Teşekkür Ziyareti...,sarcastic
zaytung,Kamuda İlk Tasarruf Hamlesi Cumhurbaşkanlığı'ndan: Filodaki Makam Araçlarının Yakıt İhtiyacı İçin Sarayın Bahçesine Petrol Sondajı Vurulacak...,sarcastic
zaytung,Murat Kurum'a Destek İçin Sahaya Sürdüğü 17 Bakan'dan İstediği Randımanı Alamayan AKP'de Bakan Nebati'ye Yeniden Forma Şansı: ''Bu en azından güldürüyordu...'',sarcastic
zaytung,"Ankara'nın Sahibi Olduğu Ortaya Çıkan Turgut Altınok, Kendisine Oy Vermeyi Düşünmeyenlerin 1 Hafta İçinde Şehri Tahliye Etmesini İstedi...",sarcastic
zaytung,Ekonomik Krizle Birlikte Kaybolmaya Yüz Tutan Bir Ramazan Geleneği: ''İftarda Fazla Yemeyin'' Uyarısı Yapan Diyetisyenler...,sarcastic
zaytung,Muhtar Adaylarından Samimi İtiraf: ''Tam olarak ne işe yarayacağımızı bilmiyoruz ama seçilmeyi çok istiyoruz...'',sarcastic
zaytung,"Piyasalarda Bugün: 2 Yıldır Borsa Muhabbetiyle Kafa Ütüleyen Ofisteki Eleman, Yeniden Coin Tavsiyesi Vermeye Başladı...",sarcastic
zaytung,"AK Parti, Murat Kurum'un 31 Mart Akşamına Kadar Kesinlikle Ağzını Açmayacağı Yeni Bir Seçim Stratejisi Üzerinde Çalışıyor...",sarcastic
zaytung,"Et Fiyatlarına Müdahale İçin Ahır Baskınları Gerçekleştirecek Ticaret Bakanlığı'na Bağlı Özel Tim, İzleyenlerden Tam Not Aldı...",sarcastic
zaytung,Sorunlarla Yüzleşmek Yerine Dizi İzlerken Sızmanın En Etkili Çözüm Yöntemi Olduğu Bilimsel Olarak Kanıtlandı...,sarcastic
zaytung,Bir Pazar Gecesi Daha O Soruya Yanıt Arayarak Geçiyor: ''Oturduğum yerde nasıl 1500 TL harcadım?'',sarcastic
zaytung,Twitch'e Erişim Engelinin Ardından ''Çevresel Felaket'' Endişesi: Uzmanlar Milyonlarca Ergenin Etrafa Yayılması Riskine Dikkat Çekiyor...,sarcastic
zaytung,Personeli İçin İskandinav Ülkeleri Turu Düzenleyen Ancak Tepki Olmasın Diye Fotoğraf Paylaşmalarını Yasaklayan Diyanet İşleri: ''Bundan daha büyük bir imtihan olabilir mi?'',sarcastic
zaytung,"Son Olarak Türkiye'nin Yüzde 52'sinin Mutlu, Yüzde 67'sinin Gelecekten Umutlu Olduğunu Açıklayan TÜİK'in Şebeke Suyunda İnceleme Başlatıldı...",sarcastic
zaytung,Kapatılması Gereken İliç'teki Madene Kapasite Artırma İzni Verdiği Ortaya Çıkan Murat Kurum: ''Aynı hoşgörü iklimini İstanbul'da da hakim kılacağız...'',sarcastic
zaytung,Çiçekçiler Odası: ‘‘Sevgililer Günü'nde en yüksek ciroyu kendine çiçek gönderen ofis çalışanlarından yapıyoruz...'',sarcastic
zaytung,"Deprem Yardımlarını 1 Yıldır Otoparkta Tuttuğu Ortaya Çıkan Üsküdar Belediyesi: ""Bize hangi deprem için olduğu iletilmedi...""",sarcastic
zaytung,"SpaceX, Dünyaya Dönüşü 2. Kez Ertelenen Alper Gezeravcı'yı İkna Etme Çabalarının Sürdüğünü Açıkladı...",sarcastic
zaytung,"Geleneği Bozmak İstemeyen Devlet Kurumlarının, 6 Şubat Depreminin 1. Yılı Anma Törenlerine 72 Saat Sonra Katılacağı Açıklandı...",sarcastic
zaytung,"Rapor: Zamlı Maaş, Zamsız Maaştan Daha Hızlı Bitti...",sarcastic
zaytung,"Son 5 Yılda 5. Merkez Bankası Başkanını da Eskiten Türkiye Ekonomisi, İstikrarlı Yürüyüşünü Sürdürüyor...",sarcastic
zaytung,"Murat Kurum'dan cesaret alan TÜİK: ''Hazır olun, gerçek enflasyonu açıklıyoruz!''",sarcastic
zaytung,Milli Gelirden En Büyük Payı Alan Yüzde 5'lik Kesimden Türkiye'yi Rahatlatan Açıklama: ''Kriz var dedirtmemek için AVM'leri ve restoranları doldurmaya devam edeceğiz...'',sarcastic
zaytung,"Ekonomide Düşündüren Tablo: 1 Haftadır Evde Yatan Oksijen İsrafı(14) Günde Ortalama 60 TL'lik Doğalgaz, 50 TL'lik Elektrik Tüketiyor...",sarcastic
zaytung,Ailesini Merkez Bankası'nın İşlerine Karıştırmakla Suçlanan TCMB Başkanı Gaye Erkan'ın Şaşkınlığı Sürüyor: ''Türkiye'de zorunlu prosedür bu şekilde değil mi?'',sarcastic
zaytung,"Uluslararası Uzay İstasyonu'na Adım Atan Alper Gezeravcı'dan İlk Açıklama: ''Vatanımız cennet, burada kurulu düzenimiz olmasa...''",sarcastic
zaytung,"Türk Yazılımcıdan Gururlandıran Başarı: Seçim Öncesi Gösterilen Gemi, Uçak vs Videolarından Yola Çıkarak Seçim Sonrası Dolar Kurunu ve Vergi Zamlarını Hesaplayan Algoritma Geliştirdi...",sarcastic
zaytung,Emekli Maaşlarına Yapılan Ekstra Yüzde 5'lik Zammın Arkasından Gözleri Yaşartan Bir Fedakarlık Öyküsü Çıktı: Artık Saray'ın 2 Odasında Işık Yanmayacak...,sarcastic
zaytung,"Grip Olduğu Halde Sabah İşe Gelmesi İstenen Ceren Aygüz(29), Yürüyen Biyolojik Silah Olarak Ofiste Terör Estirmeye Hazırlanıyor...",sarcastic
zaytung,"Özel Sektörde Gelenek Bu Yıl da Bozulmadı: Maaş Zamlarının Açıklanmasına Kısa Bir Süre Kala Yine Piyasa Çok Kötü, Yine Şirket Zor Durumda...",sarcastic
zaytung,Meteoroloji'den Soğuk ve Yağışlı Hava Uyarısı: ''Domuz gribi olmayan kaldıysa şimdi tam zamanı...'',sarcastic
zaytung,Ortada Hiçbir Anayasal Güvence Olmamasına Rağmen Hala Paralarını Bankaya Emanet Eden Vatandaşlara Bankalar Birliği'nden Teşekkür: ''Tam olarak neye güvendiğinizi bilmiyoruz ama iyi ki varsınız...'',sarcastic
zaytung,Kredi Borcunu Ödemediği İçin Almanya'daki Şirketi İflas Eden Demirören: ''Kredinin geri ödenen bir şey olduğunu bilmiyordum...'',sarcastic
zaytung,Avustralya'dan Samimi İtiraf: ''Son 20 yıldır aynı havai fişek videosunu veriyoruz...'',sarcastic
zaytung,"Süper Kupa Finalinin İptalinin Ardından Halen Sahayı Terk Etmeyen A Spor Ekibi, Suudi'lerin Gönlünü Almaya Kararlı: ''Krampon ayarlarsanız biz oynarız...''",sarcastic
zaytung,"Asgari Ücretin 17.002 TL Olarak Açıklanmasının Ardından Yüksek Lisans Mezunu, İngilizce Bilen, En Az 2 Yıl Tecrübeli Adaylara Teklif Edilecek ''İşinize Gelirse'' Ücreti de Net 17.102 TL'ye Çıkarıldı...",sarcastic
zaytung,"27 Çalışanı İçin Yılbaşı Yemeği Düzenleyen Şirket, Konkordato İlan Etti...",sarcastic
zaytung,"İçişleri Bakanlığı, Sabah Karanlıkta Servise Koşan Liselileri Şafak Baskını Sanarak Teslim Olan 37 Suç Örgütünün Çökertildiğini Açıkladı...",sarcastic
zaytung,"8 Yıllık Kariyeri Kirayı Ödemeye Yetmediği İçin Anne Evine Geri Taşınan Ezgi Saycı(30), Eskisi Kadar Ezik Hissetmiyor: ''Koca Merkez Bankası Başkanı bile...''",sarcastic
